duration,start_station_id,start_station_latitude,start_station_longitude,end_station_id,end_station_latitude,end_station_longitude,start_time,start_dayofweek
819,555,59.9337026,10.7519299,572,59.92226850808104,10.679579749668129,3.0,6.0
976,735,59.90321254732584,10.7673442932541,487,59.926929,10.776971,3.0,6.0
549,485,59.911453,10.776072,444,59.925265,10.750462,3.0,6.0
1095,387,59.914586,10.735453,2330,59.91323316606503,10.749958763650312,3.0,6.0
406,623,59.915079772688216,10.730589336669285,2337,59.91591543378553,10.73783499027732,3.0,6.0
674,503,59.92760586837719,10.76598469881135,523,59.9115945,10.7617736,3.0,6.0
476,596,59.93102013218461,10.736036647971048,443,59.91014291324254,10.752003700187942,3.0,6.0
486,503,59.92760586837719,10.76598469881135,412,59.917866,10.754898,3.0,6.0
375,503,59.92760586837719,10.76598469881135,489,59.91598309274519,10.75155119076095,4.0,6.0
635,589,59.89851335112289,10.674409149852837,484,59.92033,10.683814,4.0,6.0
722,383,59.934936,10.749466,5217,59.9126744968093,10.742025127034452,4.0,6.0
298,5113,59.91911492385629,10.757830546598228,478,59.91188166348664,10.74996254469434,4.0,6.0
609,512,59.9131891,10.7897605,2315,59.90691970255054,10.760311802881915,4.0,6.0
579,413,59.929045,10.716926,580,59.939025551395765,10.723002619643406,4.0,6.0
349,394,59.943777539367225,10.760121127577955,421,59.92806670615684,10.751202636819611,4.0,6.0
234,625,59.91336,10.737663,547,59.9112227,10.7481976,4.0,6.0
585,607,59.93277225626508,10.758594919923468,590,59.9294351,10.7136816,4.0,6.0
307,551,59.922425,10.758182,2305,59.92777794319375,10.761256419316368,4.0,6.0
693,417,59.922485,10.720896,480,59.9121109,10.7661939,4.0,6.0
555,382,59.92958561753996,10.732839000000013,464,59.9051667124711,10.753782728070432,4.0,6.0
943,738,59.9034528,10.777958,523,59.9115945,10.7617736,4.0,6.0
326,443,59.91014291324254,10.752003700187942,600,59.905323,10.7689579,4.0,6.0
2734,2351,59.95208441268443,10.727852791011172,495,59.91351552854147,10.757334670552268,4.0,6.0
382,2305,59.92777794319375,10.761256419316368,412,59.917866,10.754898,4.0,6.0
3421,564,59.9224222,10.7272388,579,59.924732,10.724628,5.0,6.0
245,531,59.93586793735034,10.681128349723906,627,59.922723981014094,10.67862514536896,5.0,6.0
434,540,59.93363159074286,10.769118139881124,394,59.943777539367225,10.760121127577955,5.0,6.0
693,434,59.9358883,10.7350062,460,59.91541769802439,10.76933022142641,5.0,6.0
482,421,59.92806670615684,10.751202636819611,527,59.9123341,10.752292,5.0,6.0
843,462,59.92714,10.730981,408,59.914943,10.773977,5.0,6.0
281,434,59.9358883,10.7350062,399,59.929545,10.7489862,5.0,6.0
1059,2357,59.91113081194453,10.730409170393784,536,59.936302037310725,10.70544931105738,5.0,6.0
1106,590,59.9294351,10.7136816,426,59.91728078292675,10.708375798767436,5.0,6.0
768,402,59.93087712510462,10.791823716034967,582,59.94114763297182,10.750775120272449,5.0,6.0
413,513,59.9273747,10.7960147,624,59.9287502718149,10.767546377298158,5.0,6.0
745,588,59.9180141,10.7184345,496,59.937957367051965,10.719488529430388,5.0,6.0
387,422,59.923703,10.740542,463,59.9207284,10.7594857,5.0,6.0
271,534,59.91022708810348,10.720971630915614,456,59.9103558,10.7051061,5.0,6.0
210,519,59.91857814333677,10.703899530059402,468,59.912793405455375,10.710103028570302,5.0,6.0
345,525,59.937205,10.7605813,517,59.9433939,10.7482848,5.0,6.0
528,735,59.90321254732584,10.7673442932541,5113,59.91911492385629,10.757830546598228,5.0,6.0
845,447,59.904473,10.786167,2306,59.930903961728745,10.80193969590286,5.0,6.0
560,2328,59.91247164342855,10.750847496059066,408,59.914943,10.773977,5.0,6.0
204,447,59.904473,10.786167,583,59.90707579234818,10.779164402446728,5.0,6.0
669,583,59.90707579234818,10.779164402446728,2306,59.930903961728745,10.80193969590286,5.0,6.0
317,579,59.924732,10.724628,382,59.92958561753996,10.732839000000013,5.0,6.0
574,420,59.94032925181832,10.766136667493829,403,59.921768,10.730476,6.0,6.0
761,474,59.940873733543725,10.720778851520524,421,59.92806670615684,10.751202636819611,6.0,6.0
505,501,59.935995,10.765413,2328,59.91247164342855,10.750847496059066,6.0,6.0
1135,503,59.92760586837719,10.76598469881135,2280,59.913150534075015,10.732281291700131,6.0,6.0
